source,model,parameter,Conventions,load_function,plot_color,plot_linestyle,plot_marker,paths
CCMI-1,ACCESS_ACCESS-CCM-refC2,tco3_zm,CF-1.4,ccmi,purple,solid,o,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/ACCESS/ACCESS-CCM/refC2/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,ACCESS_ACCESS-CCM-senC2fGHG,tco3_zm,CF-1.4,ccmi,purple,solid,o,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/ACCESS/ACCESS-CCM/senC2fGHG/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,ACCESS_ACCESS-CCM-senC2fODS,tco3_zm,CF-1.4,ccmi,purple,solid,o,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/ACCESS/ACCESS-CCM/senC2fODS/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,CCCma_CMAM-refC2,tco3_zm,CF-1.4,ccmi,red,solid,x,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/CCCma/CMAM/refC2/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,CCCma_CMAM-senC2CH4rcp85,tco3_zm,CF-1.4,ccmi,red,solid,x,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/CCCma/CMAM/senC2CH4rcp85/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,CCCma_CMAM-senC2fCH4,tco3_zm,CF-1.4,ccmi,red,solid,x,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/CCCma/CMAM/senC2fCH4/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,CCCma_CMAM-senC2fGHG,tco3_zm,CF-1.4,ccmi,red,solid,x,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/CCCma/CMAM/senC2fGHG/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,CCCma_CMAM-senC2fN2O,tco3_zm,CF-1.4,ccmi,red,solid,x,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/CCCma/CMAM/senC2fN2O/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,CCCma_CMAM-senC2fODS,tco3_zm,CF-1.4,ccmi,red,solid,x,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/CCCma/CMAM/senC2fODS/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,CCCma_CMAM-senC2rcp26,tco3_zm,CF-1.4,ccmi,red,solid,x,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/CCCma/CMAM/senC2rcp26/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
