,cf_version,stdname_tb,stdarea_tb,stdregn_tb,time,time_bnds,lat,lat_bnds,lon,lon_bnds,toz,lev,nbnds,time1,ccmi_year,ccmi_month,ccmi_day,ccmi_hour,ccmi_minute,latitude,longitude,atmosphere_mole_content_of_ozone_standard_deviation,atmosphere_mole_content_of_ozone_standard_error,atmosphere_mole_content_of_ozone_number_of_observations,atmosphere_mole_content_of_ozone,latitude_longitude
Sources/Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/ACCESS/ACCESS-CCM/refC2/mon/atmos/monthly/r1i1p1/v1/toz/toz_monthly_ACCESS-CCM_refC2_r1i1p1_196001-210012.nc,CF-1.4,79 (2022-03-19T15:25:54Z),10 (23 June 2020),4 (18 December 2018),OK,OK,OK,OK,OK,OK,"ERROR: (3.1): Units are not consistent with those given in the standard_name table.
WARN: (7.2): cell_measures refers to variable areacella that doesn't exist in this netCDF file. This is strictly an error if the cell_measures variable is not included in the dataset.",,,,"WARN: (3): No standard_name or long_name attribute specified
WARN: (3.1): units attribute should be present","WARN: (3): No standard_name or long_name attribute specified
WARN: (3.1): units attribute should be present","WARN: (3): No standard_name or long_name attribute specified
WARN: (3.1): units attribute should be present","WARN: (3): No standard_name or long_name attribute specified
WARN: (3.1): units attribute should be present","WARN: (3): No standard_name or long_name attribute specified
WARN: (3.1): units attribute should be present",,,,,,,
Sources/Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/ACCESS/ACCESS-CCM/senC2fGHG/mon/atmos/monthly/r1i1p1/v1/toz/toz_monthly_ACCESS-CCM_senC2fGHG_r1i1p1_196001-210012.nc,CF-1.4,79 (2022-03-19T15:25:54Z),10 (23 June 2020),4 (18 December 2018),OK,OK,OK,OK,OK,OK,"ERROR: (3.1): Units are not consistent with those given in the standard_name table.
WARN: (7.2): cell_measures refers to variable areacella that doesn't exist in this netCDF file. This is strictly an error if the cell_measures variable is not included in the dataset.",,,,"WARN: (3): No standard_name or long_name attribute specified
WARN: (3.1): units attribute should be present","WARN: (3): No standard_name or long_name attribute specified
WARN: (3.1): units attribute should be present","WARN: (3): No standard_name or long_name attribute specified
WARN: (3.1): units attribute should be present","WARN: (3): No standard_name or long_name attribute specified
WARN: (3.1): units attribute should be present","WARN: (3): No standard_name or long_name attribute specified
WARN: (3.1): units attribute should be present",,,,,,,
Sources/Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/ACCESS/ACCESS-CCM/senC2fODS/mon/atmos/monthly/r1i1p1/v1/toz/toz_monthly_ACCESS-CCM_senC2fODS_r1i1p1_196001-210012.nc,CF-1.4,79 (2022-03-19T15:25:54Z),10 (23 June 2020),4 (18 December 2018),OK,OK,OK,OK,OK,OK,"ERROR: (3.1): Units are not consistent with those given in the standard_name table.
WARN: (7.2): cell_measures refers to variable areacella that doesn't exist in this netCDF file. This is strictly an error if the cell_measures variable is not included in the dataset.",,,,"WARN: (3): No standard_name or long_name attribute specified
WARN: (3.1): units attribute should be present","WARN: (3): No standard_name or long_name attribute specified
WARN: (3.1): units attribute should be present","WARN: (3): No standard_name or long_name attribute specified
WARN: (3.1): units attribute should be present","WARN: (3): No standard_name or long_name attribute specified
WARN: (3.1): units attribute should be present","WARN: (3): No standard_name or long_name attribute specified
WARN: (3.1): units attribute should be present",,,,,,,
Sources/Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/CCCma/CMAM/refC2/mon/atmos/monthly/r1i1p1/v1/toz/toz_monthly_CMAM_refC2_r1i1p1_196001-200012.nc,CF-1.4,79 (2022-03-19T15:25:54Z),10 (23 June 2020),4 (18 December 2018),OK,OK,OK,OK,OK,OK,"INFO: attribute history is being used in a non-standard way
ERROR: (3.1): Units are not consistent with those given in the standard_name table.
WARN: (7.2): cell_measures refers to variable areacella that doesn't exist in this netCDF file. This is strictly an error if the cell_measures variable is not included in the dataset.",,,,,,,,,,,,,,,
Sources/Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/CCCma/CMAM/refC2/mon/atmos/monthly/r1i1p1/v1/toz/toz_monthly_CMAM_refC2_r1i1p1_200101-205012.nc,CF-1.4,79 (2022-03-19T15:25:54Z),10 (23 June 2020),4 (18 December 2018),OK,OK,OK,OK,OK,OK,"INFO: attribute history is being used in a non-standard way
ERROR: (3.1): Units are not consistent with those given in the standard_name table.
WARN: (7.2): cell_measures refers to variable areacella that doesn't exist in this netCDF file. This is strictly an error if the cell_measures variable is not included in the dataset.",,,,,,,,,,,,,,,
Sources/Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/CCCma/CMAM/refC2/mon/atmos/monthly/r1i1p1/v1/toz/toz_monthly_CMAM_refC2_r1i1p1_205101-210012.nc,CF-1.4,79 (2022-03-19T15:25:54Z),10 (23 June 2020),4 (18 December 2018),OK,OK,OK,OK,OK,OK,"INFO: attribute history is being used in a non-standard way
ERROR: (3.1): Units are not consistent with those given in the standard_name table.
WARN: (7.2): cell_measures refers to variable areacella that doesn't exist in this netCDF file. This is strictly an error if the cell_measures variable is not included in the dataset.",,,,,,,,,,,,,,,
Sources/Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/CCCma/CMAM/senC2CH4rcp85/mon/atmos/monthly/r1i1p1/v1/toz/toz_monthly_CMAM_senC2CH4rcp85_r1i1p1_196001-200012.nc,CF-1.4,79 (2022-03-19T15:25:54Z),10 (23 June 2020),4 (18 December 2018),OK,OK,OK,OK,OK,OK,"INFO: attribute history is being used in a non-standard way
ERROR: (3.1): Units are not consistent with those given in the standard_name table.
WARN: (7.2): cell_measures refers to variable areacella that doesn't exist in this netCDF file. This is strictly an error if the cell_measures variable is not included in the dataset.",,,,,,,,,,,,,,,
Sources/Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/CCCma/CMAM/senC2CH4rcp85/mon/atmos/monthly/r1i1p1/v1/toz/toz_monthly_CMAM_senC2CH4rcp85_r1i1p1_200101-205012.nc,CF-1.4,79 (2022-03-19T15:25:54Z),10 (23 June 2020),4 (18 December 2018),OK,OK,OK,OK,OK,OK,"INFO: attribute history is being used in a non-standard way
ERROR: (3.1): Units are not consistent with those given in the standard_name table.
WARN: (7.2): cell_measures refers to variable areacella that doesn't exist in this netCDF file. This is strictly an error if the cell_measures variable is not included in the dataset.",,,,,,,,,,,,,,,
Sources/Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/CCCma/CMAM/senC2CH4rcp85/mon/atmos/monthly/r1i1p1/v1/toz/toz_monthly_CMAM_senC2CH4rcp85_r1i1p1_205101-210012.nc,CF-1.4,79 (2022-03-19T15:25:54Z),10 (23 June 2020),4 (18 December 2018),OK,OK,OK,OK,OK,OK,"INFO: attribute history is being used in a non-standard way
ERROR: (3.1): Units are not consistent with those given in the standard_name table.
WARN: (7.2): cell_measures refers to variable areacella that doesn't exist in this netCDF file. This is strictly an error if the cell_measures variable is not included in the dataset.",,,,,,,,,,,,,,,
Sources/Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/CCCma/CMAM/senC2fCH4/mon/atmos/monthly/r1i1p1/v1/toz/toz_monthly_CMAM_senC2fCH4_r1i1p1_196001-200012.nc,CF-1.4,79 (2022-03-19T15:25:54Z),10 (23 June 2020),4 (18 December 2018),OK,OK,OK,OK,OK,OK,"INFO: attribute history is being used in a non-standard way
ERROR: (3.1): Units are not consistent with those given in the standard_name table.
WARN: (7.2): cell_measures refers to variable areacella that doesn't exist in this netCDF file. This is strictly an error if the cell_measures variable is not included in the dataset.",,,,,,,,,,,,,,,
Sources/Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/CCCma/CMAM/senC2fCH4/mon/atmos/monthly/r1i1p1/v1/toz/toz_monthly_CMAM_senC2fCH4_r1i1p1_200101-205012.nc,CF-1.4,79 (2022-03-19T15:25:54Z),10 (23 June 2020),4 (18 December 2018),OK,OK,OK,OK,OK,OK,"INFO: attribute history is being used in a non-standard way
ERROR: (3.1): Units are not consistent with those given in the standard_name table.
WARN: (7.2): cell_measures refers to variable areacella that doesn't exist in this netCDF file. This is strictly an error if the cell_measures variable is not included in the dataset.",,,,,,,,,,,,,,,
Sources/Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/CCCma/CMAM/senC2fCH4/mon/atmos/monthly/r1i1p1/v1/toz/toz_monthly_CMAM_senC2fCH4_r1i1p1_205101-210012.nc,CF-1.4,79 (2022-03-19T15:25:54Z),10 (23 June 2020),4 (18 December 2018),OK,OK,OK,OK,OK,OK,"INFO: attribute history is being used in a non-standard way
ERROR: (3.1): Units are not consistent with those given in the standard_name table.
WARN: (7.2): cell_measures refers to variable areacella that doesn't exist in this netCDF file. This is strictly an error if the cell_measures variable is not included in the dataset.",,,,,,,,,,,,,,,
Sources/Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/CCCma/CMAM/senC2fGHG/mon/atmos/monthly/r1i1p1/v1/toz/toz_monthly_CMAM_senC2fGHG_r1i1p1_196001-200012.nc,CF-1.4,79 (2022-03-19T15:25:54Z),10 (23 June 2020),4 (18 December 2018),OK,OK,OK,OK,OK,OK,"INFO: attribute history is being used in a non-standard way
ERROR: (3.1): Units are not consistent with those given in the standard_name table.
WARN: (7.2): cell_measures refers to variable areacella that doesn't exist in this netCDF file. This is strictly an error if the cell_measures variable is not included in the dataset.",,,,,,,,,,,,,,,
Sources/Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/CCCma/CMAM/senC2fGHG/mon/atmos/monthly/r1i1p1/v1/toz/toz_monthly_CMAM_senC2fGHG_r1i1p1_200101-205012.nc,CF-1.4,79 (2022-03-19T15:25:54Z),10 (23 June 2020),4 (18 December 2018),OK,OK,OK,OK,OK,OK,"INFO: attribute history is being used in a non-standard way
ERROR: (3.1): Units are not consistent with those given in the standard_name table.
WARN: (7.2): cell_measures refers to variable areacella that doesn't exist in this netCDF file. This is strictly an error if the cell_measures variable is not included in the dataset.",,,,,,,,,,,,,,,
Sources/Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/CCCma/CMAM/senC2fGHG/mon/atmos/monthly/r1i1p1/v1/toz/toz_monthly_CMAM_senC2fGHG_r1i1p1_205101-210012.nc,CF-1.4,79 (2022-03-19T15:25:54Z),10 (23 June 2020),4 (18 December 2018),OK,OK,OK,OK,OK,OK,"INFO: attribute history is being used in a non-standard way
ERROR: (3.1): Units are not consistent with those given in the standard_name table.
WARN: (7.2): cell_measures refers to variable areacella that doesn't exist in this netCDF file. This is strictly an error if the cell_measures variable is not included in the dataset.",,,,,,,,,,,,,,,
Sources/Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/CCCma/CMAM/senC2fN2O/mon/atmos/monthly/r1i1p1/v1/toz/toz_monthly_CMAM_senC2fN2O_r1i1p1_196001-200012.nc,CF-1.4,79 (2022-03-19T15:25:54Z),10 (23 June 2020),4 (18 December 2018),OK,OK,OK,OK,OK,OK,"INFO: attribute history is being used in a non-standard way
ERROR: (3.1): Units are not consistent with those given in the standard_name table.
WARN: (7.2): cell_measures refers to variable areacella that doesn't exist in this netCDF file. This is strictly an error if the cell_measures variable is not included in the dataset.",,,,,,,,,,,,,,,
Sources/Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/CCCma/CMAM/senC2fN2O/mon/atmos/monthly/r1i1p1/v1/toz/toz_monthly_CMAM_senC2fN2O_r1i1p1_200101-205012.nc,CF-1.4,79 (2022-03-19T15:25:54Z),10 (23 June 2020),4 (18 December 2018),OK,OK,OK,OK,OK,OK,"INFO: attribute history is being used in a non-standard way
ERROR: (3.1): Units are not consistent with those given in the standard_name table.
WARN: (7.2): cell_measures refers to variable areacella that doesn't exist in this netCDF file. This is strictly an error if the cell_measures variable is not included in the dataset.",,,,,,,,,,,,,,,
